Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.29125,,,,,,,,,,96.82264,,,,,,,,97.80742,
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,18.15768051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.74112,,,,,,,43.01972,
Angola,AGO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.40542,,,,,,,,,,,,,66.03011,,,,,
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.71298,,,,,,,95.93864,,,96.8453,97.24697,,,,,,98.14115,
Andorra,AND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,47.17525101,47.65140152,48.190979,48.72034073,49.31280136,49.4609108,50.22211838,51.00671005,51.9248085,52.47986984,53.43741989,54.30371094,55.22864914,56.30249023,57.21007919,57.90467834,58.71620941,59.68523026,61.15467834,61.91184998,63.11761856,64.17577362,65.11592865,66.33673096,67.52146912,70.1877594,71.17532349,71.75141907,69.65244293,70.13626099,71.08016205,69.8055191,70.76441,72.59386,73.7217,73.94749,74.61962,75.11764,73.69399,74.47393,74.5966,
United Arab Emirates,ARE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,53.51488113,,,,,,,,,,71.23529816,,,,,,,,,,,,,,,,,,,,90.03385,,,,,,,,,,,,,,
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,93.91285706,,,,,,,,,,,96.12819672,,,,,,,,,,97.19331,,,,,98.6108,,,98.98342,98.95497,99.10833,99.10523,99.12195,98.99389,99.17996,99.12501,,99.00387,
Armenia,ARM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,98.75196075,,,,,,,,,,,,99.40016,,,,,,,,,,99.74441,,,,,,99.73607,,
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,97.34416199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
