Country Name,Country Code,Indicator Name,Indicator Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Start-up procedures to register a business (number),IC.REG.PROC,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Start-up procedures to register a business (number),IC.REG.PROC,,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4
Angola,AGO,Start-up procedures to register a business (number),IC.REG.PROC,12,12,12,12,12,8,8,8,8,8,8,8,8,7,8,8,8
Albania,ALB,Start-up procedures to register a business (number),IC.REG.PROC,12,12,12,12,11,8,6,6,6,5,5,5,5,5,5,5,5
Andorra,AND,Start-up procedures to register a business (number),IC.REG.PROC,,,,,,,,,,,,,,,,,
Arab World,ARB,Start-up procedures to register a business (number),IC.REG.PROC,12.46153846,11.8125,11.44444444,11.44444444,10.6,9.7,9.45,9.55,9.4,9.285714286,9.047619048,8.857142857,8.727272727,8.5,7.954545455,7.318181818,6.636363636
United Arab Emirates,ARE,Start-up procedures to register a business (number),IC.REG.PROC,10,10,10,10,9,9,8,8,7,6,6,6,6,4,4,2,2
Argentina,ARG,Start-up procedures to register a business (number),IC.REG.PROC,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,11,12
Armenia,ARM,Start-up procedures to register a business (number),IC.REG.PROC,10,10,10,9,9,9,6,6,4,4,4,4,4,4,4,3,3
American Samoa,ASM,Start-up procedures to register a business (number),IC.REG.PROC,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Start-up procedures to register a business (number),IC.REG.PROC,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Australia,AUS,Start-up procedures to register a business (number),IC.REG.PROC,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Austria,AUT,Start-up procedures to register a business (number),IC.REG.PROC,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Azerbaijan,AZE,Start-up procedures to register a business (number),IC.REG.PROC,14,13,13,13,12,6,6,6,6,6,3,4,3,3,3,3,3
Burundi,BDI,Start-up procedures to register a business (number),IC.REG.PROC,8,8,8,8,8,8,8,8,8,4,3,3,3,3,3,4,4
Belgium,BEL,Start-up procedures to register a business (number),IC.REG.PROC,9,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5
Benin,BEN,Start-up procedures to register a business (number),IC.REG.PROC,11,11,11,11,11,11,11,11,10,9,8,8,8,6,6,6,6
Burkina Faso,BFA,Start-up procedures to register a business (number),IC.REG.PROC,12,12,12,8,6,5,4,4,3,3,3,3,3,3,3,3,3
Bangladesh,BGD,Start-up procedures to register a business (number),IC.REG.PROC,,,,,,,,,,,9,9,9,9,9,9,9
Bulgaria,BGR,Start-up procedures to register a business (number),IC.REG.PROC,13,13,13,11,12,7,7,7,7,7,7,7,7,7,7,7,7
Bahrain,BHR,Start-up procedures to register a business (number),IC.REG.PROC,,,,,7,7,7,7,7,7,7,7,7,6,6,6,6
"Bahamas, The",BHS,Start-up procedures to register a business (number),IC.REG.PROC,,,,,7,7,7,7,7,7,7,7,8,8,7,7,7
Bosnia and Herzegovina,BIH,Start-up procedures to register a business (number),IC.REG.PROC,12,12,13,13,13,13,13,14,14,13,13,13,13,13,13,13,13
Belarus,BLR,Start-up procedures to register a business (number),IC.REG.PROC,17,17,17,17,11,9,7,7,7,7,6,6,5,5,5,4,4
Belize,BLZ,Start-up procedures to register a business (number),IC.REG.PROC,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Bermuda,BMU,Start-up procedures to register a business (number),IC.REG.PROC,,,,,,,,,,,,,,,,,
Bolivia,BOL,Start-up procedures to register a business (number),IC.REG.PROC,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12
Brazil,BRA,Start-up procedures to register a business (number),IC.REG.PROC,,,,,,,,,,,11,11,11,11,11,11,11
Barbados,BRB,Start-up procedures to register a business (number),IC.REG.PROC,,,,,,,,,8,8,8,7,7,7,7,7,7
Brunei Darussalam,BRN,Start-up procedures to register a business (number),IC.REG.PROC,,,,21,21,21,21,18,18,18,18,18,7,7,5,3,3
Bhutan,BTN,Start-up procedures to register a business (number),IC.REG.PROC,10,10,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8
