"","V1","V2","V3"
"1",0,0,1
"2",0,0,1
"3",0,0,1
"4",0,0,1
"5",0,0,1
"6",0,0,1
"7",0,0,1
"8",0,0,1
"9",0,0,1
"10",0,0,1
"11",0,0,1
"12",0,0,1
"13",0,0,1
"14",0,1,0
"15",0,1,0
"16",0,0,1
"17",0,1,0
"18",0,1,0
"19",0,1,0
"20",0,1,0
"21",0,1,0
"22",0,1,0
"23",0,1,0
"24",0,0,1
"25",0,0,1
"26",0,0,1
"27",0,0,1
"28",0,0,1
"29",0,0,1
"30",0,0,1
"31",0,0,1
"32",0,0,1
"33",0,0,1
"34",0,0,1
"35",0,0,1
"36",0,0,1
"37",0,0,1
"38",0,0,1
"39",0,0,1
"40",0,0,1
"41",0,0,1
"42",0,0,1
"43",0,0,1
"44",0,0,1
"45",0,0,1
"46",0,0,1
"47",0,0,1
"48",0,0,1
"49",0,0,1
"50",0,0,1
"51",0,0,1
"52",0,0,1
"53",0,0,1
"54",0,0,1
"55",0,0,1
"56",0,1,0
"57",0,1,0
"58",0,1,0
"59",0,1,0
"60",0,1,0
"61",0,1,0
"62",0,1,0
"63",0,1,0
"64",0,1,0
"65",0,0,1
"66",0,0,1
"67",0,0,1
"68",0,0,1
"69",0,0,1
"70",0,0,1
"71",0,0,1
"72",0,0,1
"73",0,0,1
"74",0,0,1
"75",0,0,1
"76",0,0,1
"77",0,0,1
"78",0,1,0
"79",0,1,0
"80",0,1,0
"81",0,1,0
"82",0,1,0
"83",0,1,0
"84",0,1,0
"85",0,1,0
"86",0,1,0
"87",0,1,0
"88",0,1,0
"89",0,1,0
"90",0,1,0
"91",0,1,0
"92",0,1,0
"93",0,1,0
"94",0,1,0
"95",0,1,0
"96",0,1,0
"97",0,1,0
"98",0,1,0
"99",0,1,0
"100",0,1,0
"101",0,1,0
"102",0,1,0
"103",0,1,0
"104",0,1,0
"105",0,1,0
"106",0,1,0
"107",0,1,0
"108",0,1,0
"109",0,1,0
"110",0,1,0
"111",0,1,0
"112",0,1,0
"113",0,1,0
"114",0,1,0
"115",0,1,0
"116",0,1,0
"117",0,1,0
"118",0,1,0
"119",0,1,0
"120",0,1,0
"121",0,1,0
"122",0,1,0
"123",0,1,0
"124",0,1,0
"125",0,1,0
"126",0,1,0
"127",0,1,0
"128",0,0,1
"129",0,0,1
"130",0,0,1
"131",0,1,0
"132",0,1,0
"133",0,1,0
"134",0,1,0
"135",0,1,0
"136",0,1,0
"137",0,1,0
"138",0,1,0
"139",0,1,0
"140",0,1,0
"141",0,1,0
"142",0,1,0
"143",0,1,0
"144",0,0,1
"145",0,0,1
"146",0,0,1
"147",0,0,1
"148",0,0,1
"149",0,0,1
"150",0,0,1
"151",0,0,1
"152",0,0,1
"153",0,0,1
"154",0,0,1
"155",0,1,0
"156",0,1,0
"157",0,0,1
"158",0,0,1
